id,title,issuer,version,url,licence_as_found,licence_evidence,bucket,use_in_diacausal,notes,date_checked,checked_by
S01,Guidelines on second- and third-line medicines and type of insulin for the control of blood glucose levels in non-pregnant adults with diabetes mellitus,WHO,2018 (ISBN 978-92-4-155028-4),https://www.who.int/publications/i/item/9789241550284,CC BY-NC-SA 3.0 IGO,"Copyright page of the official WHO PDF (iris.who.int bitstream 9789241550284-eng.pdf, PDF page 3): 'Some rights reserved ... CC BY-NC-SA 3.0 IGO'",cleared_ingest,Core comparative evidence: SU / DPP-4i / SGLT2i as add-on,"Ingested: PDF pages 7-26 (Glossary to 5.4), text extracted with diacausal_rag/pdf_text.py into diacausal_rag/corpus/who_2018_second_line.txt; contents, abbreviations, references and appendices left out. Non-commercial only; cite WHO; no suggestion of WHO endorsement; the extracted text is shared under the same CC BY-NC-SA 3.0 IGO licence. Recommendations date from 2018.",2026-09-26,Rhian Roy Kuttikadan (team)
S02,RSSDI-ESI Clinical Practice Recommendations for the Management of Type 2 Diabetes Mellitus 2020,RSSDI & Endocrine Society of India,2020; Indian J Endocrinol Metab 24(1):1-122; doi 10.4103/ijem.IJEM_225_20; PMID 32699774,https://doi.org/10.4103/ijem.IJEM_225_20,CC BY-NC-SA 4.0 (journal-level),Other IJEM 2020 articles on PMC carry CC BY-NC-SA 4.0; THIS article's own licence line not yet seen,cleared_ingest_PENDING,Best India-specific T2D guideline in an open version,Member B: open the PMC page for PMID 32699774 and confirm the licence line before ingesting. Erratum: IJEM 2020;24(4):376.,2026-09-19,Claude (draft) — Member B to confirm
S03,RSSDI Clinical Practice Recommendations for the Management of Type 2 Diabetes Mellitus 2022,RSSDI,2022; Int J Diabetes Dev Ctries 42(Suppl 1):1-143; doi 10.1007/s13410-022-01129-5; PMC9534592,https://pmc.ncbi.nlm.nih.gov/articles/PMC9534592,(c) exclusive licence to RSSDI; PMC permission limited to the WHO COVID-19 pandemic declaration,PMC copyright notice,cite_only,"Newest RSSDI version — cite, do not ingest",The COVID-period permission has lapsed; ask RSSDI for written permission if you want to ingest it.,2026-09-19,Claude (draft) — Member B to confirm
S04,Standard Treatment Workflow: Diabetes Mellitus Type 2 (ICD-10 E11),"ICMR / Dept of Health Research, MoHFW",Undated STW PDF (2024 upload),https://icmr.gov.in/icmrobject/uploads/STWs/1726567245_diabetes_mellitus_type_2.pdf,"(c) Department of Health Research, GoI — no reuse licence stated",Footer of the STW,cite_only_permission_requested,India-specific second-line workflow; metabolic targets,Email DHR/ICMR for written permission to show excerpts in a non-commercial research tool. Until then cite only.,2026-09-19,Claude (draft) — Member B to confirm
S05,Guidelines for Management of Type 2 Diabetes,ICMR,2018,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/ICMR_GuidelinesType2diabetes2018_0.pdf,UNVERIFIED,Not checked,cite_only_permission_requested,Indian targets and drug classes,Check the PDF's copyright page; treat like S04 until then.,2026-09-19,Claude (draft) — Member B to confirm
S06,National List of Essential Medicines 2022,"MoHFW, GoI",2022,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadConsumer/nlem2022.pdf,UNVERIFIED,Not checked,cite_only_structured,Which of the three classes are on NLEM (structured table),"Use as a cited fact in a table, not as RAG text.",2026-09-19,Claude (draft) — Member B to confirm
S07,"US FDA prescribing information: FARXIGA (label 2026, 202293s035), JARDIANCE, JANUVIA, AMARYL, metformin",US FDA (Drugs@FDA / openFDA),current labels,https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/202293s035lbl.pdf,UNVERIFIED for reuse (manufacturer-written labels distributed by FDA),Not checked — read open.fda.gov terms,cite_only_structured,eGFR limits and contraindications in guardrails.v1.yaml,"US labels, not Indian CDSCO labels — the doctor must confirm Indian labelling. Vildagliptin, teneligliptin, gliclazide and remogliflozin have no US label.",2026-09-19,Claude (draft) — Member B to confirm
S08,FDA Drug Safety Communications: metformin and reduced kidney function (8 Apr 2016); saxagliptin/alogliptin and heart failure (5 Apr 2016),US FDA,2016,https://www.fda.gov/drugs/drug-safety-and-availability/fda-drug-safety-communication-fda-revises-warnings-regarding-use-diabetes-medicine-metformin-certain,US federal government work,FDA-authored text,cleared_ingest,"Guardrails G00, G07","Ingested: both communications. Metformin (8 Apr 2016): corpus/fda_dsc_2016_metformin_kidney.txt, from the FDA PDF (copy fetched from imss.gob.mx because fda.gov blocks the build machine). Saxagliptin/alogliptin (5 Apr 2016): corpus/fda_dsc_2016_saxagliptin_alogliptin_hf.txt, from the Internet Archive copy of the fda.gov page (scripts/fetch_fda_dsc.py). Brand tables and references left out.",2026-09-26,Rhian Roy Kuttikadan (team)
S09,KDIGO 2022 Clinical Practice Guideline for Diabetes Management in CKD,KDIGO (Kidney Int 102(5S):S1-S127),2022,https://kdigo.org/wp-content/uploads/2023/12/KDIGO-2022-Diabetes-Guideline.pdf,No open licence found,Not stated in the pages seen,cite_only,SGLT2i organ-protection note (G15),Do not ingest.,2026-09-19,Claude (draft) — Member B to confirm
S10,NICE NG28 Type 2 diabetes in adults,NICE (UK),current,https://www.nice.org.uk/guidance/ng28,UK-only open licence; international use needs a paid licence; AI use needs written permission,nice.org.uk reuse pages,exclude,—,Do not ingest or paraphrase into the tool.,2026-09-19,Claude (draft) — Member B to confirm
S11,IDF Global Clinical Practice Recommendations for Managing Type 2 Diabetes,International Diabetes Federation,2025 (ISBN 978-2-930229-97-3),https://idf.org/t2d-cpr-2025,All rights reserved — no reproduction without written IDF permission,Copyright page of the PDF in the repo,cite_only_permission_requested,—,Email communications@idf.org if you want it; remove the PDF from the public repo.,2026-09-19,Claude (draft) — Member B to confirm
